V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,variable,generation,rate,popSize,chroms,generationMean,generationSD
0.00190662,0.00197847,0.00191798,0.00188289,0.00198186,0.00187255,0.00191235,0.00195042,0.00193064,0.00193306,1e-10_1000000_1,28,1e-10,1000000,1,0.001926684,3.6328858195349e-05
0.00179571,0.00187222,0.00179475,0.00175485,0.0018813,0.00176961,0.00180666,0.00184817,0.0018314,0.00181606,1e-10_1000000_1,29,1e-10,1000000,1,0.001817073,4.15360277483429e-05
0.00171415,0.00179859,0.00170885,0.00167196,0.00179739,0.001679,0.00172894,0.00176276,0.00173505,0.00171428,1e-10_1000000_1,30,1e-10,1000000,1,0.001731097,4.37786284872222e-05
0.00161781,0.00172817,0.00161512,0.00160302,0.00172116,0.00160602,0.0016813,0.00167893,0.00168173,0.00162687,1e-10_1000000_1,31,1e-10,1000000,1,0.001656013,4.78020557554217e-05
0.00155494,0.00164865,0.00152813,0.00152142,0.00165937,0.00153595,0.00160588,0.00159676,0.00160848,0.00155,1e-10_1000000_1,32,1e-10,1000000,1,0.001580958,4.98392343886265e-05
0.00149503,0.00158805,0.00145644,0.00143937,0.00158437,0.00147691,0.00153253,0.00154986,0.00153724,0.00148182,1e-10_1000000_1,33,1e-10,1000000,1,0.001514162,5.19169710638481e-05
0.00143913,0.001544,0.00138383,0.0013601,0.00152077,0.00142699,0.00145373,0.00149133,0.00148423,0.00141328,1e-10_1000000_1,34,1e-10,1000000,1,0.001451739,5.88447870720556e-05
0.00137665,0.00148855,0.00133988,0.00131913,0.00145365,0.00138473,0.00137809,0.00143769,0.00141065,0.00135519,1e-10_1000000_1,35,1e-10,1000000,1,0.001394421,5.30857608968732e-05
0.00131161,0.00143095,0.00128942,0.00128719,0.00139333,0.00133613,0.00133245,0.00138149,0.00135733,0.0013096,1e-10_1000000_1,36,1e-10,1000000,1,0.00134295,4.73756611211566e-05
0.00125406,0.00136422,0.00124448,0.00122632,0.00132867,0.00127435,0.00128721,0.00132461,0.00130936,0.00124344,1e-10_1000000_1,37,1e-10,1000000,1,0.001285672,4.50046414396461e-05
0.0012038,0.00130715,0.00118448,0.00116855,0.00127905,0.00122662,0.00124354,0.00126893,0.0012413,0.00118209,1e-10_1000000_1,38,1e-10,1000000,1,0.001230551,4.5974583425096e-05
0.00116641,0.00127914,0.00115286,0.00110955,0.00123552,0.00118817,0.00119623,0.00121731,0.001193,0.00113774,1e-10_1000000_1,39,1e-10,1000000,1,0.001187593,4.93246041939405e-05
0.0011156,0.00124339,0.00112705,0.0010769,0.00121311,0.00113413,0.00116515,0.00115387,0.00113136,0.00110637,1e-10_1000000_1,40,1e-10,1000000,1,0.001146693,4.98845968321997e-05
0.00108547,0.00119705,0.00109057,0.00105716,0.00116252,0.00110011,0.001127,0.0011007,0.00110501,0.0010673,1e-10_1000000_1,41,1e-10,1000000,1,0.001109289,4.27184598271052e-05
0.00104758,0.00114708,0.00104492,0.00101508,0.00115761,0.00107231,0.00107158,0.00104692,0.00106459,0.00101975,1e-10_1000000_1,42,1e-10,1000000,1,0.001068742,4.81245277725749e-05
